,Title,Subtitle,Links
0,SMASH HELL Dad hit & killed by car was helping injured woman when he died in front of kids,Dad hit & killed by car was helping injured woman when he died in front of kids,https://www.thesun.co.uk/news/25187481/sheffield-dad-crash-christmas-walk/
1,CORRIE ON Coronation Street legend renews contract for another year amid mass cast exodus,Coronation Street legend renews contract for another year amid mass cast exodus,https://www.thesun.co.uk/tv/25187076/coronation-street-bill-roache-contract/
2,HORROR BRAWL Boxing champion Tony Dodson's son 'stabbed in the heart' in Boxing Day brawl,Boxing champion Tony Dodson's son 'stabbed in the heart' in Boxing Day brawl,https://www.thesun.co.uk/news/25184196/boxer-tony-dodson-son-stabbed-heart-boxing-day/
3,"'PURE CARNAGE' Our homes were torn apart by a 'TORNADO' - roof blew past & a pint saved me
HOUSES were left in a state of ""absolute disaster"" after a ""localised tornado"" hurtled through Stalybridge in Greater Manchester.",Our homes were torn apart by a 'TORNADO' - roof blew past & a pint saved me,https://www.thesun.co.uk/news/25182885/homes-ripped-apart-tornado-roof-blowing-past-window/
4,STORM TRAGEDY Three men killed in Storm Gerrit carnage after car plunged into icy river,Three men killed in Storm Gerrit carnage after car plunged into icy river,https://www.thesun.co.uk/news/25186924/three-dead-river-esk-glaisdale-horror-crash/
5,OH LA LA Huge Hollywood star reveals she's a secret fan of Gogglebox and Naked Attraction,Huge Hollywood star reveals she's a secret fan of Gogglebox and Naked Attraction,https://www.thesun.co.uk/tv/25183505/emma-stone-reveals-secret-fan-gogglebox-naked-attraction/
6,HELPING HAND Energy giant with 5million customers giving out automatic £150 discount NOW,Energy giant with 5million customers giving out automatic £150 discount NOW,https://www.thesun.co.uk/money/25184212/energy-giant-automatic-warm-home-discount-scottish-power/
7,COMFORT FOOD From garlic to chocolate - the 6 immune boosting foods to eat when you're ill,From garlic to chocolate - the 6 immune boosting foods to eat when you're ill,https://www.thesun.co.uk/health/25180905/immune-boosting-foods-eat-when-ill-chocolate-garlic-honey/
8,"LITTLER BY LITTLE Littler could eclipse Taylor's £8m worth and become the 'Rooney of darts'
LUKE LITTLER, 16, has reached the last-16 of the World Darts Championship, and could become darts' highest ever earner if he maintains his incredible rise.",Littler could eclipse Taylor's £8m worth and become the 'Rooney of darts',https://www.thesun.co.uk/sport/25179918/luke-littler-wayne-rooney-world-championship/
9,THE SUN SAYS Tories must come out of starting blocks fast to show they're worth voting for,Tories must come out of starting blocks fast to show they're worth voting for,https://www.thesun.co.uk/news/25177503/tories-worth-voting-for-sun-says/
10,DEAR DEIDRE I'm having secret sex with my stepbrother — I worry our parents will be livid,I'm having secret sex with my stepbrother — I worry our parents will be livid,https://www.thesun.co.uk/dear-deidre/25178616/secret-sex-relationship-stepbrother/
11,HAPPY SHOPPING John Lewis Boxing Day deals 2023: Save up to 50% off,John Lewis Boxing Day deals 2023: Save up to 50% off,https://www.thesun.co.uk/shopping/24880901/john-lewis-boxing-day-deals/
12,CASE CLOSED Best online casinos as rated by the real expert for UK players right NOW,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
13,"BRIGHTON 4 SPURS 2 Latest as Tottenham grab two back after Pedro's second pen of the game
SPURS have taken maximum points from their last four games, while the Seagulls are without a win since the start of December.",Latest as Tottenham grab two back after Pedro's second pen of the game,https://www.thesun.co.uk/sport/25161953/brighton-vs-tottenham-live-score-premier-league/
14,TAKING THE MIK Arsenal fume after same VAR issue against West Ham that sparked Arteta fury,Arsenal fume after same VAR issue against West Ham that sparked Arteta fury,https://www.thesun.co.uk/sport/25187949/arsenal-var-west-ham-mikel-arteta-newcastle/
15,ARSENAL 0 WEST HAM 1 Soucek taps home opener after kamikaze Gunners defending,Soucek taps home opener after kamikaze Gunners defending,https://www.thesun.co.uk/sport/25155643/arsenal-vs-west-ham-live-score-premier-league/
16,"MAN UTD NEWS Sir Jim Ratcliffe gets final say on transfers, Brailsford attends Villa win","Sir Jim Ratcliffe gets final say on transfers, Brailsford attends Villa win",https://www.thesun.co.uk/sport/25157965/man-utd-takeover-news-sir-jim-ratcliffe-graham-potter/
17,YOU'RE WELCOME All the best UK casino welcome bonuses for new players revealed,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
18,MID-EAST BLITZ ‘Blow Iran off the map’ US Senator demands after Israel killed top general,‘Blow Iran off the map’ US Senator demands after Israel killed top general,https://www.thesun.co.uk/news/25186482/us-senator-attack-on-iran-israel-houthis/
19,OH MAE GOD! Molly-Mae under fire from mum-shamers for flying her baby in ‘first class’,Molly-Mae under fire from mum-shamers for flying her baby in ‘first class’,https://www.thesun.co.uk/tvandshowbiz/25187168/molly-mae-mum-shamed-flying-bambi-first-class/
20,TOFF AT TOP Top jobs at 'patronising' BBC STILL packed with posh people despite complaints,Top jobs at 'patronising' BBC STILL packed with posh people despite complaints,https://www.thesun.co.uk/news/25187277/bbc-jobs-privately-educated/
